abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,genderless,total_stats,offense_defense_ratio,predicted_legendary
"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,Mouse Pokémon,70,1000000,NA,75,Rattaラッタ,Raticate,50,20,40,80,77,Normal,Dark,NA,1,FALSE,FALSE,413,1.0142857142857142,7.259923412746981e-5
"Keen Eye, Sniper",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50,21,31,31,70,Normal,Flying,2,1,FALSE,FALSE,262,2,4.371155652053165e-7
"Keen Eye, Sniper",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,Fearow,50,22,61,61,100,Normal,Flying,38,1,FALSE,FALSE,442,1.3846153846153846,1.937793632529846e-4
"Intimidate, Shed Skin, Unnerve",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,Snake Pokémon,44,1000000,2,35,Arboアーボ,Ekans,50,23,40,54,55,Poison,None,6.9,1,FALSE,FALSE,288,1.3636363636363635,1.6464936802597672e-12
"Intimidate, Shed Skin, Unnerve",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,Arbok,50,24,65,79,80,Poison,None,65,1,FALSE,FALSE,448,1.3768115942028984,3.7090862962799166e-10
"Static, Lightningrod",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50,25,50,50,90,Electric,None,6,1,FALSE,FALSE,320,1.375,4.432985213598865e-5
"Static, Lightningrod, Surge Surfer",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,Mouse Pokémon,50,1000000,NA,60,Raichuライチュウ,Raichu,50,26,95,85,110,Electric,Electric,NA,1,FALSE,FALSE,485,1.7,0.011690616488806467
"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,Mouse Pokémon,90,1000000,NA,50,Sandサンド,Sandshrew,50,27,10,35,40,Ground,Ice,NA,1,FALSE,FALSE,300,0.8333333333333334,5.888465157261203e-6
"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,Mouse Pokémon,120,1000000,NA,75,Sandpanサンドパン,Sandslash,50,28,25,65,65,Ground,Ice,NA,1,FALSE,FALSE,450,0.8333333333333334,9.446195303838107e-4
"Poison Point, Rivalry, Hustle",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0,29,40,40,41,Poison,None,7,1,FALSE,FALSE,275,0.9038461538461539,1.0602362159031313e-12
"Poison Point, Rivalry, Hustle",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0,30,55,55,56,Poison,None,20,1,FALSE,FALSE,365,0.9253731343283582,2.232545142764079e-11
"Poison Point, Rivalry, Sheer Force",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0,31,75,85,76,Poison,Ground,60,1,FALSE,FALSE,505,1.0574712643678161,2.55516387795247e-9
"Poison Point, Rivalry, Hustle",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100,32,40,40,50,Poison,None,9,1,FALSE,FALSE,273,1.425,9.90817797673925e-13
"Poison Point, Rivalry, Hustle",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100,33,55,55,65,Poison,None,19.5,1,FALSE,FALSE,365,1.263157894736842,2.232545142764079e-11
"Poison Point, Rivalry, Sheer Force",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,Nidoking,100,34,85,75,85,Poison,Ground,62,1,FALSE,FALSE,505,1.3246753246753247,2.55516387795247e-9
"Cute Charm, Magic Guard, Friend Guard",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,Clefairy,24.6,35,60,65,35,Fairy,None,7.5,1,FALSE,FALSE,323,0.9375,8.239503296274028e-6
"Cute Charm, Magic Guard, Unaware",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,60,Fairy,None,40,1,FALSE,FALSE,483,0.958904109589041,0.0018527043215855986
"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,Fox Pokémon,40,1000000,NA,38,Rokonロコン,Vulpix,24.6,37,50,65,65,Fire,Ice,NA,1,FALSE,FALSE,299,1.025,1.1054128239129605e-5
"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,Fox Pokémon,75,1000000,NA,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,109,Fire,Ice,NA,1,FALSE,FALSE,505,0.8933333333333333,0.011682502392970326
"Cute Charm, Competitive, Friend Guard",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,20,Normal,Fairy,5.5,1,FALSE,FALSE,270,2.25,5.731015142471037e-7
"Cute Charm, Competitive, Frisk",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,Balloon Pokémon,45,800000,1,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,45,Normal,Fairy,12,1,FALSE,FALSE,435,1.5555555555555556,1.5289537826452125e-4
"Inner Focus, Infiltrator",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,Zubat,50,41,30,40,55,Poison,Flying,7.5,1,FALSE,FALSE,245,1.2857142857142858,3.839459552710585e-13
"Inner Focus, Infiltrator",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,Golbat,50,42,65,75,90,Poison,Flying,55,1,FALSE,FALSE,455,1.1428571428571428,4.70108239804647e-10
"Chlorophyll, Run Away",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50,43,75,65,30,Grass,Poison,5.4,1,FALSE,FALSE,320,0.9090909090909091,1.1031427043187855e-5
"Chlorophyll, Stench",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50,44,85,75,40,Grass,Poison,8.6,1,FALSE,FALSE,395,0.9285714285714286,1.3976779980633935e-4
"Chlorophyll, Effect Spore",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50,45,110,90,50,Grass,Poison,18.6,1,FALSE,FALSE,490,0.9411764705882353,0.0034743695523146165
"Effect Spore, Dry Skin, Damp",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,Paras,50,46,45,55,25,Bug,Grass,5.4,1,FALSE,FALSE,285,1.2727272727272727,2.9184766655153616e-6
"Effect Spore, Dry Skin, Damp",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1,60,Parasectパラセクト,Parasect,50,47,60,80,30,Bug,Grass,29.5,1,FALSE,FALSE,405,1.1875,1.6967347350302698e-4
"Compoundeyes, Tinted Lens, Run Away",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,Insect Pokémon,50,1000000,1,60,Kongpangコンパン,Venonat,50,48,40,55,45,Bug,Poison,30,1,FALSE,FALSE,305,1.1,5.744382582922537e-6
"Shield Dust, Tinted Lens, Wonder Skin ",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,Venomoth,50,49,90,75,90,Bug,Poison,12.5,1,FALSE,FALSE,450,1.0833333333333333,7.781232394511404e-4
"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,Mole Pokémon,30,1000000,NA,10,Digdaディグダ,Diglett,50,50,35,45,90,Ground,Ground,NA,1,FALSE,FALSE,265,1.8333333333333333,1.8003181393707584e-6
"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,Mole Pokémon,60,1000000,NA,35,Dugtrioダグトリオ,Dugtrio,50,51,50,70,110,Ground,Ground,NA,1,FALSE,FALSE,425,1.6666666666666667,4.053972623439439e-4
"Pickup, Technician, Unnerve, Pickup, Technician, Rattled",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,NA,40,Nyarthニャース,Meowth,50,52,50,40,90,Normal,Dark,NA,1,FALSE,FALSE,290,1,1.1280274644509582e-6
"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,NA,65,Persianペルシアン,Persian,50,53,75,65,115,Normal,Dark,NA,1,FALSE,FALSE,440,1,1.810940572528479e-4
"Damp, Cloud Nine, Swift Swim",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,Psyduck,50,54,65,50,55,Water,None,19.6,1,FALSE,FALSE,320,1.0833333333333333,7.873181932724134e-6
"Damp, Cloud Nine, Swift Swim",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,Golduck,50,55,95,80,85,Water,None,76.6,1,FALSE,FALSE,500,1.0512820512820513,0.003478848022419701
"Vital Spirit, Anger Point, Defiant",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,Mankey,50,56,35,45,70,Fighting,None,28,1,FALSE,FALSE,305,2.2857142857142856,6.123976137151515e-13
"Vital Spirit, Anger Point, Defiant",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1,65,Okorizaruオコリザル,Primeape,50,57,60,70,95,Fighting,None,32,1,FALSE,FALSE,455,1.75,9.833229609599576e-11
"Intimidate, Flash Fire, Justified",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,60,Fire,None,19,1,FALSE,FALSE,350,1.5555555555555556,6.214806663001185e-5
"Intimidate, Flash Fire, Justified",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,95,Fire,None,155,1,FALSE,FALSE,555,1.375,0.0603694761715994
"Water Absorb, Damp, Swift Swim",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50,60,40,40,90,Water,None,12.4,1,FALSE,FALSE,300,1.25,4.00003333444545e-6
"Water Absorb, Damp, Swift Swim",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1,65,Nyorozoニョロゾ,Poliwhirl,50,61,50,50,90,Water,None,20,1,FALSE,FALSE,385,1,7.110661259959668e-5
"Water Absorb, Damp, Swift Swim",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50,62,70,90,70,Water,Fighting,54,1,FALSE,FALSE,510,1,0.004873839885266187
"Synchronize, Inner Focus, Magic Guard",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,Caseyケーシィ,Abra,75.4,63,105,55,90,Psychic,None,19.5,1,FALSE,FALSE,310,1.3333333333333333,9.493062086516131e-5
"Synchronize, Inner Focus, Magic Guard",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,64,120,70,105,Psychic,None,56.5,1,FALSE,FALSE,400,1.1666666666666667,0.0019951603832263362
"Synchronize, Inner Focus, Magic Guard",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,65,175,105,150,Psychic,None,48,1,FALSE,FALSE,600,0.7692307692307693,0.6356657183187838
"Guts, No Guard, Steadfast",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,66,35,35,35,Fighting,None,19.5,1,FALSE,FALSE,305,1.6,6.123976137151515e-13
"Guts, No Guard, Steadfast",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,67,50,60,45,Fighting,None,70.5,1,FALSE,FALSE,405,1.4285714285714286,1.809152944742028e-11
"Guts, No Guard, Steadfast",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,68,65,85,55,Fighting,None,130,1,FALSE,FALSE,505,1.625,5.3446230072318e-10
"Chlorophyll, Gluttony",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,Flower Pokémon,35,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50,69,70,30,40,Grass,Poison,4,1,FALSE,FALSE,300,2.142857142857143,5.604613844118212e-6
"Chlorophyll, Gluttony",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,Flycatcher Pokémon,50,1059860,1,65,Utsudonウツドン,Weepinbell,50,70,85,45,55,Grass,Poison,6.4,1,FALSE,FALSE,390,1.8,1.180033922984013e-4
"Chlorophyll, Gluttony",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,Utsubotウツボット,Victreebel,50,71,100,70,70,Grass,Poison,15.5,1,FALSE,FALSE,490,1.6153846153846154,0.0034743695523146165
"Clear Body, Liquid Ooze, Rain Dish",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,Menokurageメノクラゲ,Tentacool,50,72,50,100,70,Water,Poison,45.5,1,FALSE,FALSE,335,1.1428571428571428,1.3083209432992345e-5
"Clear Body, Liquid Ooze, Rain Dish",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,Dokukurageドククラゲ,Tentacruel,50,73,80,120,100,Water,Poison,55,1,FALSE,FALSE,515,1.0769230769230769,0.005767705404213217
"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,Rock Pokémon,100,1059860,NA,40,Isitsubuteイシツブテ,Geodude,50,74,30,30,20,Rock,Ground,NA,1,FALSE,FALSE,300,0.8,6.397723998166143e-6
"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,Rock Pokémon,115,1059860,NA,55,Goloneゴローン,Graveler,50,75,45,45,35,Rock,Ground,NA,1,FALSE,FALSE,390,0.8260869565217391,1.3469993614704823e-4
"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,Megaton Pokémon,130,1059860,NA,80,Golonyaゴローニャ,Golem,50,76,55,65,45,Rock,Ground,NA,1,FALSE,FALSE,495,0.9230769230769231,0.004691884599435849
"Run Away, Flash Fire, Flame Body",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,Fire Horse Pokémon,55,1000000,1,50,Ponytaポニータ,Ponyta,50,77,65,65,90,Fire,None,30,1,FALSE,FALSE,410,1.5454545454545454,4.737114817930869e-4
"Run Away, Flash Fire, Flame Body",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,Gallopギャロップ,Rapidash,50,78,80,80,105,Fire,None,95,1,FALSE,FALSE,500,1.4285714285714286,0.009881085599423824
"Oblivious, Own Tempo, Regenerator",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,Dopey Pokémon,65,1000000,1.2,90,Yadonヤドン,Slowpoke,50,79,40,40,15,Water,Psychic,36,1,FALSE,FALSE,315,1,6.6470467002920015e-6
"Oblivious, Own Tempo, Regenerator",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,Yadoranヤドラン,Slowbro,50,80,130,80,30,Water,Psychic,78.5,1,FALSE,FALSE,590,0.4166666666666667,0.06847632529883221
"Magnet Pull, Sturdy, Analytic",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,Magnet Pokémon,70,1000000,0.3,25,Coilコイル,Magnemite,NA,81,95,55,45,Electric,Steel,6,1,FALSE,TRUE,325,0.5,5.250671171823158e-5
